,ID,setting_name,openml_id,learner_name,sampling_strategy_name,test_split_seed,train_split_seed,seed,iteration,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_log_loss
127,1451,small,16,rf_entropy,random,0,0,0,1,0.73181818,0.7263149,0.74308099,0.73181818,0.95046041,1.44648255
128,1452,small,16,rf_entropy,random,0,0,0,2,0.71969697,0.71583695,0.73095432,0.71969697,0.9376607,1.47337231
129,1453,small,16,rf_entropy,random,0,0,0,3,0.76818182,0.76519611,0.77572239,0.76818182,0.94978574,1.45289789
130,1454,small,16,rf_entropy,random,0,0,0,4,0.73181818,0.7304581,0.75207382,0.73181818,0.94978319,1.43584243
131,1455,small,16,rf_entropy,random,0,0,0,5,0.72575758,0.7207533,0.73815688,0.72575758,0.94559484,1.4534615
132,1456,small,16,rf_entropy,random,0,0,0,6,0.73787879,0.73691074,0.75822942,0.73787879,0.94956765,1.44578637
133,1457,small,16,rf_entropy,random,0,0,0,7,0.71666667,0.71464585,0.73929841,0.71666667,0.95325349,1.43217923
134,1458,small,16,rf_entropy,random,0,0,0,8,0.75,0.74793285,0.77179634,0.75,0.95221916,1.41744051
135,1459,small,16,rf_entropy,random,0,0,0,9,0.75454545,0.75161612,0.78769786,0.75454545,0.95894041,1.39016167
136,1460,small,16,rf_entropy,random,0,0,0,10,0.74242424,0.74683932,0.78272862,0.74242424,0.95574431,1.39093349
137,1461,small,16,rf_entropy,random,0,0,0,11,0.73333333,0.73260504,0.75692838,0.73333333,0.95405571,1.36392399
138,1462,small,16,rf_entropy,random,0,0,0,12,0.77424242,0.77708192,0.81247397,0.77424242,0.9646758,1.34514577
139,1463,small,16,rf_entropy,random,0,0,0,13,0.75909091,0.75825705,0.77071445,0.75909091,0.95584762,1.35899482
140,1464,small,16,rf_entropy,random,0,0,0,14,0.74090909,0.7428305,0.77064589,0.74090909,0.96158045,1.38302672
141,1465,small,16,rf_entropy,random,0,0,0,15,0.78181818,0.78523676,0.81086883,0.78181818,0.96190057,1.33351646
142,1466,small,16,rf_entropy,random,0,0,0,16,0.78333333,0.78468618,0.80372206,0.78333333,0.96634017,1.30076049
143,1467,small,16,rf_entropy,random,0,0,0,17,0.77727273,0.77959754,0.79829241,0.77727273,0.95995434,1.35456856
144,1468,small,16,rf_entropy,random,0,0,0,18,0.79545455,0.79782986,0.81098311,0.79545455,0.96902229,1.29607022
145,1469,small,16,rf_entropy,random,0,0,0,19,0.78333333,0.78429527,0.80121567,0.78333333,0.96522931,1.28041841
146,1470,small,16,rf_entropy,random,0,0,0,20,0.8030303,0.80408277,0.81284152,0.8030303,0.96141593,1.30836207
147,2773,small,18,rf_entropy,random,0,0,0,0,0.60606061,0.59321203,0.60082908,0.60606061,0.9155201,1.61748487
148,2774,small,18,rf_entropy,random,0,0,0,1,0.6,0.58368785,0.58434128,0.6,0.90941613,1.85516609
149,2775,small,18,rf_entropy,random,0,0,0,2,0.60606061,0.59045407,0.59503372,0.60606061,0.90998495,1.64906555
150,2776,small,18,rf_entropy,random,0,0,0,3,0.60909091,0.58790593,0.59255735,0.60909091,0.91610295,1.62280909
151,2777,small,18,rf_entropy,random,0,0,0,4,0.60606061,0.58223808,0.5834181,0.60606061,0.91696766,1.51032999
152,2778,small,18,rf_entropy,random,0,0,0,5,0.61212121,0.59398515,0.59608671,0.61212121,0.91265815,1.87214018
153,2779,small,18,rf_entropy,random,0,0,0,6,0.5969697,0.57978783,0.5813609,0.5969697,0.91351648,1.76145774
154,2780,small,18,rf_entropy,random,0,0,0,7,0.60606061,0.59145579,0.59442071,0.60606061,0.9127385,1.54749711
155,2781,small,18,rf_entropy,random,0,0,0,8,0.59848485,0.57694448,0.58267202,0.59848485,0.91623559,1.56726581
156,2782,small,18,rf_entropy,random,0,0,0,9,0.61666667,0.59064555,0.60571615,0.61666667,0.9171105,1.37884412
157,2783,small,18,rf_entropy,random,0,0,0,10,0.6030303,0.58630505,0.59355584,0.6030303,0.90546118,2.524325
158,2784,small,18,rf_entropy,random,0,0,0,11,0.59848485,0.58337341,0.61075663,0.59848485,0.90303923,2.73039673
159,2785,small,18,rf_entropy,random,0,0,0,12,0.61969697,0.60194687,0.61103449,0.61969697,0.91439394,1.54502106
160,2786,small,18,rf_entropy,random,0,0,0,13,0.60606061,0.59858713,0.60616439,0.60606061,0.91438246,1.70616277
161,2787,small,18,rf_entropy,random,0,0,0,14,0.62424242,0.62204735,0.63205593,0.62424242,0.93751148,1.33068852
162,2788,small,18,rf_entropy,random,0,0,0,15,0.61212121,0.60314065,0.62220208,0.61212121,0.92774079,1.66564435
163,2789,small,18,rf_entropy,random,0,0,0,16,0.61212121,0.60036707,0.60578964,0.61212121,0.93479492,1.39552176
164,2790,small,18,rf_entropy,random,0,0,0,17,0.61212121,0.60336204,0.62018135,0.61212121,0.92336114,1.82159689
165,2791,small,18,rf_entropy,random,0,0,0,18,0.61969697,0.61539216,0.62657575,0.61969697,0.92984389,1.64029251
